Temp[C],Rain[mm],Passangers,Day,Month,Year,DayOfWeek,IsHoliday
-11.1,0.02,2061.0,7,1,2010,3,0
-16.1,0.0,2129.0,9,1,2010,5,0
-12.6,0.0,2063.0,11,1,2010,0,0
-10.2,0.0,2118.0,12,1,2010,1,0
-3.2,0.0,2216.0,13,1,2010,2,0
-6.6,0.0,2122.0,18,1,2010,0,0
-11.9,0.0,2565.0,23,1,2010,5,0
-15.2,0.0,1772.0,24,1,2010,6,0
-17.0,0.0,2080.0,25,1,2010,0,0
-9.1,0.0,2106.0,26,1,2010,1,0
-16.2,0.0,2325.0,27,1,2010,2,0
-17.6,0.0,1891.0,28,1,2010,3,0
-16.0,0.0,2155.0,29,1,2010,4,0
-7.8,0.03,1784.0,31,1,2010,6,0
-2.8,0.03,2216.0,1,2,2010,0,0
-5.9,0.02,2223.0,3,2,2010,2,0
-4.4,0.0,1996.0,4,2,2010,3,0
-3.8,0.0,2332.0,5,2,2010,4,0
-3.0,0.0,2661.0,6,2,2010,5,0
-6.0,0.0,1835.0,7,2,2010,6,0
-4.2,0.02,2317.0,8,2,2010,0,0
-8.0,0.0,2225.0,10,2,2010,2,0
-11.9,0.0,2297.0,11,2,2010,3,0
-10.8,0.0,2447.0,12,2,2010,4,0
-8.8,0.0,2183.0,13,2,2010,5,0
-8.4,0.0,2348.0,14,2,2010,6,0
-10.5,0.0,2281.0,15,2,2010,0,0
-10.0,0.0,2314.0,16,2,2010,1,0
-8.2,0.0,2050.0,17,2,2010,2,0
-9.1,0.0,2276.0,18,2,2010,3,0
-12.8,0.0,2191.0,19,2,2010,4,0
-14.7,0.02,2039.0,20,2,2010,5,0
-18.3,0.0,1303.0,21,2,2010,6,0
-10.3,0.05,1901.0,24,2,2010,2,0
-12.4,0.0,1874.0,25,2,2010,3,0
-6.1,0.0,1879.0,26,2,2010,4,0
0.4,0.0,1497.0,28,2,2010,6,0
1.0,0.02,1868.0,1,3,2010,0,0
0.5,0.05,2216.0,2,3,2010,1,0
0.4,0.0,1852.0,3,3,2010,2,0
-3.9,0.0,2240.0,4,3,2010,3,0
-6.1,0.0,3338.0,6,3,2010,5,0
-6.5,0.0,2763.0,7,3,2010,6,0
-3.1,0.0,2303.0,9,3,2010,1,0
0.1,0.0,2478.0,12,3,2010,4,0
-1.8,0.03,2949.0,13,3,2010,5,0
-3.7,0.0,2065.0,14,3,2010,6,0
-5.8,0.0,2143.0,15,3,2010,0,0
-7.4,0.0,2056.0,16,3,2010,1,0
-7.7,0.0,2521.0,17,3,2010,2,0
-7.1,0.0,2419.0,18,3,2010,3,0
-3.2,0.05,2307.0,19,3,2010,4,0
1.5,0.03,2680.0,20,3,2010,5,0
1.4,0.0,2122.0,21,3,2010,6,0
0.3,0.05,2390.0,22,3,2010,0,0
